hour,start_ts,end_ts,twitter_density,inst_density,total
0,1439942401,1439946001,0.0,1.5033888659550265,1.5033888659550265
1,1439946001,1439949601,0.0,0.007645779929941498,0.007645779929941498
2,1439949601,1439953201,0.0,0.6018018237895018,0.6018018237895018
3,1439953201,1439956801,0.0,0.3009009118947509,0.3009009118947509
4,1439956801,1439960401,0.0,0.0,0.0
5,1439960401,1439964001,0.0,0.7500275602340769,0.7500275602340769
6,1439964001,1439967601,0.0,0.3009009118947509,0.3009009118947509
7,1439967601,1439971201,0.0,0.0,0.0
8,1439971201,1439974801,0.0,1.4592496512402364,1.4592496512402364
9,1439974801,1439978401,0.2902555443082668,1.5574058649006426,1.8476614092089092
10,1439978401,1439982001,0.007638459913650764,1.2036036475790035,1.2112421074926543
11,1439982001,1439985601,0.7512943694166471,1.1527083342472233,1.9040027036638705
12,1439985601,1439989201,0.7604912989357104,1.022357946648022,1.7828492455837324
13,1439989201,1439992801,0.5668535664021368,1.3170247191808173,1.8838782855829541
14,1439992801,1439996401,0.29325513196480935,1.5061792267791054,1.7994343587439148
15,1439996401,1440000001,0.9281979411745397,0.5865102639296187,1.5147082051041585
16,1440000001,1440003601,1.109244902388137,0.5182077432753456,1.6274526456634824
17,1440003601,1440007201,0.9861319533320861,3.4979294857757317,4.484061439107818
18,1440007201,1440010801,2.5148491279243026,4.689315177180208,7.204164305104511
19,1440010801,1440014401,0.6671843490504064,2.5614080149795746,3.2285923640299807
20,1440014401,1440018001,0.9976290547154675,1.4668954311701778,2.4645244858856454
21,1440018001,1440021601,0.3461547542466049,4.178626622515564,4.524781376762169
22,1440021601,1440025201,1.645511722232142,1.6491404889871255,3.2946522112192675
23,1440025201,1440028801,0.0,3.9741526733652743,3.9741526733652743
24,1440028801,1440032401,0.5665146010792607,-0.28560935203486787,0.2809052490443928
25,1440032401,1440036001,0.0,1.4924331161559938,1.4924331161559938
26,1440036001,1440039601,0.0,0.3009009118947509,0.3009009118947509
