hour,start_ts,end_ts,twitter_density,inst_density,total
0,1439942401,1439946001,0.0,0.0,0.0
1,1439946001,1439949601,0.0,0.0,0.0
2,1439949601,1439953201,0.0,0.0,0.0
3,1439953201,1439956801,0.0,0.0,0.0
4,1439956801,1439960401,0.0,0.0,0.0
5,1439960401,1439964001,0.0,0.19504856622105962,0.19504856622105962
6,1439964001,1439967601,0.0,0.0,0.0
7,1439967601,1439971201,0.0,0.0,0.0
8,1439971201,1439974801,0.0,0.0,0.0
9,1439974801,1439978401,0.0,0.0,0.0
10,1439978401,1439982001,0.0,0.23658862746852066,0.23658862746852066
11,1439982001,1439985601,0.0,0.0,0.0
12,1439985601,1439989201,0.0,0.2819913717490932,0.2819913717490932
13,1439989201,1439992801,-0.20833333333333334,-0.06890020125999241,-0.2772335345933257
14,1439992801,1439996401,0.20833333333333334,0.4903247050824266,0.6986580384157599
15,1439996401,1440000001,0.0,0.0,0.0
16,1440000001,1440003601,0.20833333333333334,0.2819913717490932,0.4903247050824266
17,1440003601,1440007201,-0.2798165561786798,-0.06890020125999241,-0.3487167574386722
18,1440007201,1440010801,0.20833333333333334,0.444921960801854,0.6532552941351873
19,1440010801,1440014401,0.16992551169135506,0.3249983739061908,0.49492388559754585
20,1440014401,1440018001,0.0,0.49450844836168817,0.49450844836168817
21,1440018001,1440021601,0.2199104312711937,0.20833333333333334,0.428243764604527
22,1440021601,1440025201,0.0,-0.20833333333333334,-0.20833333333333334
23,1440025201,1440028801,0.0,0.0,0.0
24,1440028801,1440032401,0.0,0.0,0.0
25,1440032401,1440036001,0.0,0.0,0.0
26,1440036001,1440039601,0.0,0.0,0.0
27,1440039601,1440043201,0.0,0.0,0.0
28,1440043201,1440046801,0.0,0.0,0.0
29,1440046801,1440050401,0.0,0.0,0.0
30,1440050401,1440054001,0.0,0.0,0.0
31,1440054001,1440057601,0.0,0.0,0.0
32,1440057601,1440061201,0.0,0.0,0.0
33,1440061201,1440064801,0.3868714424364374,0.0,0.3868714424364374
34,1440064801,1440068401,0.0,0.0,0.0
35,1440068401,1440072001,0.20833333333333334,0.18043198149407882,0.3887653148274122
36,1440072001,1440075601,-0.06370140639478916,0.0,-0.06370140639478916
37,1440075601,1440079201,0.5578724160385743,0.0,0.5578724160385743
38,1440079201,1440082801,-0.06370140639478916,0.0,-0.06370140639478916
39,1440082801,1440086401,0.0,0.0,0.0
40,1440086401,1440090001,0.0,0.0,0.0
41,1440090001,1440093601,0.0,0.0,0.0
42,1440093601,1440097201,0.0,0.4624233532431721,0.4624233532431721
43,1440097201,1440100801,0.0,0.0,0.0
44,1440100801,1440104401,0.0,0.0,0.0
45,1440104401,1440108001,0.0,-0.05305708361657886,-0.05305708361657886
46,1440108001,1440111601,0.0,0.20833333333333334,0.20833333333333334
47,1440111601,1440115201,0.0,0.5368195029661781,0.5368195029661781
48,1440115201,1440118801,0.0,0.3563875214720992,0.3563875214720992
49,1440118801,1440122401,0.0,0.0,0.0
50,1440122401,1440126001,0.0,0.12798075662399166,0.12798075662399166
51,1440126001,1440129601,0.0,0.20833333333333334,0.20833333333333334
52,1440129601,1440133201,0.0,-0.3690384867520167,-0.3690384867520167
53,1440133201,1440136801,0.0,0.38394226987197494,0.38394226987197494
54,1440136801,1440140401,0.0,0.4166666666666667,0.4166666666666667
55,1440140401,1440144001,0.0,0.0,0.0
56,1440144001,1440147601,0.0,0.5446474232906583,0.5446474232906583
57,1440147601,1440151201,0.0,0.04762817991464996,0.04762817991464996
58,1440151201,1440154801,0.0,0.3363140899573251,0.3363140899573251
59,1440154801,1440158401,0.0,-0.03272439679469182,-0.03272439679469182
60,1440158401,1440162001,0.0,0.25596151324798333,0.25596151324798333
61,1440162001,1440165601,0.0,0.625,0.625
62,1440165601,1440169201,0.48318290254360463,0.10669459841106918,0.5898775009546738
63,1440169201,1440172801,-0.08035352115077957,0.3035896931626333,0.2232361720118537
64,1440172801,1440176401,-0.20833333333333334,0.22323711645329167,0.014903783119958325
65,1440176401,1440180001,0.4166666666666667,0.9285896931626333,1.3452563598293
66,1440180001,1440183601,0.14463192693854418,-0.40176288354670836,-0.25713095660816415
67,1440183601,1440187201,-0.4803680730614559,-0.2439745606827996,-0.7243426337442554
68,1440187201,1440190801,0.4166666666666667,2.8988460529919333,3.3155127196586
